epoch,lr,train_loss,val_loss,train_miou,val_miou,val_miou_fg,time_s
1,3.333e-05,0.98191,0.95517,0.16168,0.15356,0.0,27.7
2,6.667e-05,0.97715,0.95477,0.16274,0.15356,0.0,25.9
3,0.0001,0.96695,0.95068,0.16555,0.15348,2e-05,25.8
4,0.0001,0.95607,0.94153,0.17804,0.15745,0.00574,25.6
5,9.967e-05,0.93888,0.9299,0.20878,0.202,0.05789,25.7
6,9.867e-05,0.91684,0.91426,0.2534,0.23362,0.1013,25.8
7,9.701e-05,0.90079,0.92308,0.2814,0.22478,0.08397,25.6
8,9.473e-05,0.87741,0.90191,0.32224,0.23682,0.10609,25.7
9,9.186e-05,0.85436,0.90302,0.34448,0.24018,0.10646,26.7
10,8.842e-05,0.83435,0.90304,0.35613,0.24117,0.10738,26.3
11,8.447e-05,0.81263,0.89286,0.37505,0.23651,0.10479,26.4
12,8.006e-05,0.79459,0.88779,0.3731,0.24035,0.10718,26.1
13,7.525e-05,0.77744,0.8869,0.36699,0.24176,0.10819,26.3
14,7.011e-05,0.7595,0.87934,0.3745,0.24204,0.1091,25.7
15,6.47e-05,0.73352,0.87566,0.38984,0.23787,0.10584,25.9
16,5.91e-05,0.73187,0.88877,0.37368,0.24068,0.10533,26.1
17,5.338e-05,0.71557,0.87176,0.38456,0.23675,0.10423,26.3
18,4.762e-05,0.70664,0.87102,0.38358,0.24362,0.10916,26.3
19,4.19e-05,0.69481,0.88209,0.38739,0.24455,0.10788,27.7
20,3.63e-05,0.69113,0.86705,0.38472,0.24409,0.10902,23.9
21,3.089e-05,0.69237,0.85967,0.37025,0.24336,0.10902,23.2
22,2.575e-05,0.67049,0.85065,0.39513,0.23639,0.10434,24.0
23,2.094e-05,0.6836,0.84408,0.38452,0.22991,0.09993,23.6
24,1.653e-05,0.66032,0.85375,0.39581,0.23963,0.10638,24.2
25,1.258e-05,0.65871,0.85521,0.39528,0.24009,0.10656,23.6
26,9.14e-06,0.65965,0.84758,0.39177,0.23849,0.10591,23.1
27,6.27e-06,0.65356,0.85027,0.40202,0.2391,0.10624,23.2
