epoch,lr_decoder,train_loss,val_loss,train_miou,val_miou,epoch_time_s
1,3.333e-05,0.63221,0.63266,0.01679,0.01496,16.9
2,6.667e-05,0.62449,0.62628,0.02162,0.03162,16.2
3,0.0001,0.61491,0.6115,0.03535,0.06892,15.9
4,0.0001,0.59982,0.59838,0.06059,0.10263,16.0
5,9.95e-05,0.59087,0.58149,0.09179,0.13623,15.9
6,9.799e-05,0.58455,0.57561,0.11227,0.15696,16.0
7,9.553e-05,0.57987,0.56994,0.12618,0.18547,15.8
8,9.214e-05,0.57562,0.56689,0.14451,0.19885,16.1
9,8.791e-05,0.57136,0.56417,0.15726,0.21236,16.5
10,8.292e-05,0.56579,0.55762,0.17655,0.21277,15.9
11,7.726e-05,0.56374,0.5585,0.18285,0.23109,15.9
12,7.106e-05,0.56151,0.55292,0.19794,0.23947,16.2
13,6.445e-05,0.55755,0.54819,0.20699,0.25404,16.4
14,5.754e-05,0.5533,0.54799,0.22179,0.26176,16.1
15,5.05e-05,0.55196,0.5432,0.22348,0.26138,19.5
16,4.346e-05,0.55069,0.54041,0.23015,0.27965,18.6
17,3.655e-05,0.54801,0.53718,0.23577,0.26914,15.9
18,2.994e-05,0.54637,0.53713,0.23899,0.27976,17.0
19,2.374e-05,0.54612,0.53465,0.24136,0.28051,16.1
20,1.808e-05,0.54373,0.53381,0.24453,0.28537,16.8
21,1.309e-05,0.54088,0.53267,0.25218,0.28746,16.6
22,8.86e-06,0.54198,0.53255,0.25096,0.28425,16.7
23,5.47e-06,0.54276,0.53212,0.25046,0.28704,16.7
24,3.01e-06,0.5413,0.53181,0.24974,0.28909,16.0
25,1.5e-06,0.54182,0.53186,0.2526,0.28583,15.8
